stage,rep,wall_time_sec
dp,0,0.8916813249961706
dp,1,0.6765994679954019
dp,2,1.0768106169998646
dp,3,0.8481568189963582
dp,4,0.830447660999198
zero1,0,1.2859716829989338
zero1,1,1.2415882339992095
zero1,2,0.7135027939948486
zero1,3,0.8082542199990712
zero1,4,0.8498071049980354
zero2,0,0.8694822000034037
zero2,1,0.7067458629971952
zero2,2,0.8344904379991931
zero2,3,0.7928122809971683
zero2,4,0.7787822680038516
zero3,0,0.8773004720060271
zero3,1,0.7974088190021575
zero3,2,0.8453767879982479
zero3,3,1.0697189240017906
zero3,4,0.9486017240051297
